역명,호선,측정일시,초미세먼지(내부),운행횟수,자치구,초미세먼지(외부)
교대(2),2호선,2021042712,28.1,524.0,서초구,16.0
방배(2),2호선,2021042712,64.8,524.0,서초구,16.0
서초(2),2호선,2021042712,42.5,524.0,서초구,16.0
고속터미널(3),3호선,2021042712,8.5,272.0,서초구,16.0
교대(3),3호선,2021042712,11.8,272.0,서초구,16.0
남부터미널(3),3호선,2021042712,19.1,272.0,서초구,16.0
양재(3),3호선,2021042712,28.6,272.0,서초구,16.0
잠원(3),3호선,2021042712,22.9,272.0,서초구,16.0
남태령(4),4호선,2021042712,62.6,307.0,서초구,16.0
고속터미널(7),7호선,2021042712,24.5,420.0,서초구,16.0
내방(7),7호선,2021042712,19.2,420.0,서초구,16.0
반포(7),7호선,2021042712,23.8,420.0,서초구,16.0
교대(2),2호선,2021042713,26.6,524.0,서초구,15.0
방배(2),2호선,2021042713,57.9,524.0,서초구,15.0
서초(2),2호선,2021042713,39.6,524.0,서초구,15.0
고속터미널(3),3호선,2021042713,9.2,272.0,서초구,15.0
교대(3),3호선,2021042713,14.3,272.0,서초구,15.0
남부터미널(3),3호선,2021042713,22.3,272.0,서초구,15.0
양재(3),3호선,2021042713,32.1,272.0,서초구,15.0
잠원(3),3호선,2021042713,28.9,272.0,서초구,15.0
남태령(4),4호선,2021042713,60.5,307.0,서초구,15.0
고속터미널(7),7호선,2021042713,23.2,420.0,서초구,15.0
내방(7),7호선,2021042713,25.5,420.0,서초구,15.0
반포(7),7호선,2021042713,30.1,420.0,서초구,15.0
교대(2),2호선,2021042714,22.5,524.0,서초구,20.0
방배(2),2호선,2021042714,70.6,524.0,서초구,20.0
서초(2),2호선,2021042714,50.8,524.0,서초구,20.0
고속터미널(3),3호선,2021042714,14.3,272.0,서초구,20.0
교대(3),3호선,2021042714,10.8,272.0,서초구,20.0
남부터미널(3),3호선,2021042714,23.1,272.0,서초구,20.0
양재(3),3호선,2021042714,27.7,272.0,서초구,20.0
잠원(3),3호선,2021042714,29.2,272.0,서초구,20.0
남태령(4),4호선,2021042714,61.5,307.0,서초구,20.0
고속터미널(7),7호선,2021042714,28.3,420.0,서초구,20.0
내방(7),7호선,2021042714,34.8,420.0,서초구,20.0
반포(7),7호선,2021042714,37.8,420.0,서초구,20.0
교대(2),2호선,2021042715,28.8,524.0,서초구,22.0
방배(2),2호선,2021042715,80.5,524.0,서초구,22.0
서초(2),2호선,2021042715,53.8,524.0,서초구,22.0
고속터미널(3),3호선,2021042715,17.1,272.0,서초구,22.0
교대(3),3호선,2021042715,13.6,272.0,서초구,22.0
남부터미널(3),3호선,2021042715,26.1,272.0,서초구,22.0
양재(3),3호선,2021042715,39.8,272.0,서초구,22.0
잠원(3),3호선,2021042715,26.7,272.0,서초구,22.0
남태령(4),4호선,2021042715,60.4,307.0,서초구,22.0
고속터미널(7),7호선,2021042715,39.9,420.0,서초구,22.0
내방(7),7호선,2021042715,46.8,420.0,서초구,22.0
반포(7),7호선,2021042715,50.8,420.0,서초구,22.0
교대(2),2호선,2021042716,32.1,524.0,서초구,24.0
방배(2),2호선,2021042716,90.7,524.0,서초구,24.0
서초(2),2호선,2021042716,51.8,524.0,서초구,24.0
고속터미널(3),3호선,2021042716,21.9,272.0,서초구,24.0
교대(3),3호선,2021042716,16.1,272.0,서초구,24.0
남부터미널(3),3호선,2021042716,25.5,272.0,서초구,24.0
양재(3),3호선,2021042716,60.1,272.0,서초구,24.0
잠원(3),3호선,2021042716,31.4,272.0,서초구,24.0
남태령(4),4호선,2021042716,55.3,307.0,서초구,24.0
고속터미널(7),7호선,2021042716,60.8,420.0,서초구,24.0
내방(7),7호선,2021042716,52.6,420.0,서초구,24.0
반포(7),7호선,2021042716,33.9,420.0,서초구,24.0
교대(2),2호선,2021042717,33.4,524.0,서초구,
방배(2),2호선,2021042717,96.7,524.0,서초구,
서초(2),2호선,2021042717,54.5,524.0,서초구,
고속터미널(3),3호선,2021042717,22.0,272.0,서초구,
교대(3),3호선,2021042717,14.7,272.0,서초구,
남부터미널(3),3호선,2021042717,26.2,272.0,서초구,
양재(3),3호선,2021042717,50.5,272.0,서초구,
잠원(3),3호선,2021042717,31.1,272.0,서초구,
남태령(4),4호선,2021042717,59.2,307.0,서초구,
고속터미널(7),7호선,2021042717,40.0,420.0,서초구,
내방(7),7호선,2021042717,61.7,420.0,서초구,
반포(7),7호선,2021042717,34.6,420.0,서초구,
교대(2),2호선,2021042718,37.5,524.0,서초구,
방배(2),2호선,2021042718,85.5,524.0,서초구,
서초(2),2호선,2021042718,54.8,524.0,서초구,
고속터미널(3),3호선,2021042718,21.7,272.0,서초구,
교대(3),3호선,2021042718,22.2,272.0,서초구,
남부터미널(3),3호선,2021042718,25.7,272.0,서초구,
양재(3),3호선,2021042718,83.5,272.0,서초구,
잠원(3),3호선,2021042718,39.3,272.0,서초구,
남태령(4),4호선,2021042718,69.6,307.0,서초구,
고속터미널(7),7호선,2021042718,33.8,420.0,서초구,
내방(7),7호선,2021042718,44.6,420.0,서초구,
반포(7),7호선,2021042718,22.9,420.0,서초구,
교대(2),2호선,2021042719,47.0,524.0,서초구,11.0
방배(2),2호선,2021042719,93.2,524.0,서초구,11.0
서초(2),2호선,2021042719,48.4,524.0,서초구,11.0
고속터미널(3),3호선,2021042719,23.0,272.0,서초구,11.0
교대(3),3호선,2021042719,20.7,272.0,서초구,11.0
남부터미널(3),3호선,2021042719,25.9,272.0,서초구,11.0
양재(3),3호선,2021042719,90.5,272.0,서초구,11.0
잠원(3),3호선,2021042719,35.1,272.0,서초구,11.0
